date,company,values
4/5/2014,Uber,0.000434594
4/12/2014,Uber,0.00053396
4/19/2014,Uber,0.000480815
4/26/2014,Uber,0.000620018
5/3/2014,Uber,0.000612799
5/10/2014,Uber,0.000586953
5/17/2014,Uber,0.000644693
5/24/2014,Uber,0.00062349
5/31/2014,Uber,0.000682077
6/7/2014,Uber,0.000670841
6/14/2014,Uber,0.000914634
6/21/2014,Uber,0.001191097
6/28/2014,Uber,0.001480494
7/5/2014,Uber,0.001690306
7/12/2014,Uber,0.00130501
7/19/2014,Uber,0.001162537
7/26/2014,Uber,0.001592818
8/2/2014,Uber,0.001521739
8/9/2014,Uber,0.001438228
8/16/2014,Uber,0.001202263
8/23/2014,Uber,0.001265022
8/30/2014,Uber,0.001302708
9/6/2014,Uber,0.001228669
9/13/2014,Uber,0.001543831
9/20/2014,Uber,0.002372167
9/27/2014,Uber,0.002534937
10/4/2014,Uber,0.002719327
10/11/2014,Uber,0.002676011
10/18/2014,Uber,0.001705191
10/25/2014,Uber,0.001382257
11/1/2014,Uber,0.001202608
11/8/2014,Uber,0.001410709
11/15/2014,Uber,0.001896813
11/22/2014,Uber,0.00217183
11/29/2014,Uber,0.001978176
12/6/2014,Uber,0.001984762
12/13/2014,Uber,0.001994852
12/20/2014,Uber,0.002069724
12/27/2014,Uber,0.002997719
1/3/2015,Uber,0.003411339
1/10/2015,Uber,0.003928209
1/17/2015,Uber,0.003590903
1/24/2015,Uber,0.003947109
1/31/2015,Uber,0.003959239
2/7/2015,Uber,0.003774309
2/14/2015,Uber,0.004474273
2/21/2015,Uber,0.004900064
2/28/2015,Uber,0.005185713
3/7/2015,Uber,0.005318804
3/14/2015,Uber,0.005712431
3/21/2015,Uber,0.005437564
3/28/2015,Uber,0.005449421
4/4/2015,Uber,0.005048329
4/11/2015,Uber,0.004940354
4/18/2015,Uber,0.005337331
4/25/2015,Uber,0.006269405
5/2/2015,Uber,0.006927143
5/9/2015,Uber,0.007072308
5/16/2015,Uber,0.00665202
5/23/2015,Uber,0.006283553
5/30/2015,Uber,0.006239295
6/6/2015,Uber,0.006842138
6/13/2015,Uber,0.00675211
6/20/2015,Uber,0.006978937
6/27/2015,Uber,0.007025761
7/4/2015,Uber,0.009291669
7/11/2015,Uber,0.010338406
7/18/2015,Uber,0.011874635
7/25/2015,Uber,0.013988289
8/1/2015,Uber,0.012317065
8/8/2015,Uber,0.012852433
8/15/2015,Uber,0.012015292
8/22/2015,Uber,0.010582011
8/29/2015,Uber,0.01024533
9/5/2015,Uber,0.00985536
9/12/2015,Uber,0.010173377
9/19/2015,Uber,0.009955347
9/26/2015,Uber,0.009191313
4/5/2014,Yandex.Taxi,0.021295089
4/12/2014,Yandex.Taxi,0.022853481
4/19/2014,Yandex.Taxi,0.02144437
4/26/2014,Yandex.Taxi,0.023206377
5/3/2014,Yandex.Taxi,0.023899151
5/10/2014,Yandex.Taxi,0.022975013
5/17/2014,Yandex.Taxi,0.022161335
5/24/2014,Yandex.Taxi,0.022445639
5/31/2014,Yandex.Taxi,0.02243274
6/7/2014,Yandex.Taxi,0.021765057
6/14/2014,Yandex.Taxi,0.020807927
6/21/2014,Yandex.Taxi,0.021141964
6/28/2014,Yandex.Taxi,0.023095714
7/5/2014,Yandex.Taxi,0.023223341
7/12/2014,Yandex.Taxi,0.024287682
7/19/2014,Yandex.Taxi,0.024413282
7/26/2014,Yandex.Taxi,0.023675065
8/2/2014,Yandex.Taxi,0.022173913
8/9/2014,Yandex.Taxi,0.021932979
8/16/2014,Yandex.Taxi,0.020933522
8/23/2014,Yandex.Taxi,0.022489282
8/30/2014,Yandex.Taxi,0.022008913
9/6/2014,Yandex.Taxi,0.021501706
9/13/2014,Yandex.Taxi,0.021479393
9/20/2014,Yandex.Taxi,0.021810754
9/27/2014,Yandex.Taxi,0.021969451
10/4/2014,Yandex.Taxi,0.025898349
10/11/2014,Yandex.Taxi,0.026823829
10/18/2014,Yandex.Taxi,0.026840975
10/25/2014,Yandex.Taxi,0.027142498
11/1/2014,Yandex.Taxi,0.024495221
11/8/2014,Yandex.Taxi,0.023789676
11/15/2014,Yandex.Taxi,0.023394031
11/22/2014,Yandex.Taxi,0.022548706
11/29/2014,Yandex.Taxi,0.023610491
12/6/2014,Yandex.Taxi,0.022856777
12/13/2014,Yandex.Taxi,0.022779923
12/20/2014,Yandex.Taxi,0.022766962
