date,company,values
4/5/2014,Uber,0
4/12/2014,Uber,0
4/19/2014,Uber,0
4/26/2014,Uber,9.42E-05
5/3/2014,Uber,0
5/10/2014,Uber,0.000700525
5/17/2014,Uber,0.000846238
5/24/2014,Uber,0.000909542
5/31/2014,Uber,0.001051865
6/7/2014,Uber,0.000872047
6/14/2014,Uber,0.000933925
6/21/2014,Uber,0.001154557
6/28/2014,Uber,0.001285541
7/5/2014,Uber,0.00120048
7/12/2014,Uber,0.001492537
7/19/2014,Uber,0.001405637
7/26/2014,Uber,0.001181248
8/2/2014,Uber,0.001547417
8/9/2014,Uber,0.001993061
8/16/2014,Uber,0.002217787
8/23/2014,Uber,0.002206207
8/30/2014,Uber,0.002327273
9/6/2014,Uber,0.002036956
9/13/2014,Uber,0.002328967
9/20/2014,Uber,0.002714999
9/27/2014,Uber,0.002689931
10/4/2014,Uber,0.0025366
10/11/2014,Uber,0.002395818
10/18/2014,Uber,0.002118954
10/25/2014,Uber,0.002086127
11/1/2014,Uber,0.002398082
11/8/2014,Uber,0.002479898
11/15/2014,Uber,0.002709007
11/22/2014,Uber,0.003101831
11/29/2014,Uber,0.003254124
12/6/2014,Uber,0.002822919
12/13/2014,Uber,0.002634229
12/20/2014,Uber,0.002518099
12/27/2014,Uber,0.002999838
1/3/2015,Uber,0.002923244
1/10/2015,Uber,0.002786402
1/17/2015,Uber,0.003023071
1/24/2015,Uber,0.002998974
1/31/2015,Uber,0.003032188
2/7/2015,Uber,0.003262389
2/14/2015,Uber,0.003058584
2/21/2015,Uber,0.003298471
2/28/2015,Uber,0.003720415
3/7/2015,Uber,0.004266077
3/14/2015,Uber,0.004456955
3/21/2015,Uber,0.004211655
3/28/2015,Uber,0.003857791
4/4/2015,Uber,0.00497625
4/11/2015,Uber,0.008667548
4/18/2015,Uber,0.009938163
4/25/2015,Uber,0.010892116
5/2/2015,Uber,0.011685393
5/9/2015,Uber,0.011373051
5/16/2015,Uber,0.011768256
5/23/2015,Uber,0.012053639
5/30/2015,Uber,0.011382357
6/6/2015,Uber,0.009802443
6/13/2015,Uber,0.009840745
6/20/2015,Uber,0.009832842
6/27/2015,Uber,0.010424651
7/4/2015,Uber,0.012551979
7/11/2015,Uber,0.016089979
7/18/2015,Uber,0.020531306
7/25/2015,Uber,0.032546015
8/1/2015,Uber,0.037902968
8/8/2015,Uber,0.041496107
8/15/2015,Uber,0.045797727
8/22/2015,Uber,0.041235364
8/29/2015,Uber,0.038601036
9/5/2015,Uber,0.035386516
9/12/2015,Uber,0.032610727
9/19/2015,Uber,0.031967934
9/26/2015,Uber,0.031448413
4/5/2014,Taxibeat,0.010282062
4/12/2014,Taxibeat,0.010675381
4/19/2014,Taxibeat,0.01098119
4/26/2014,Taxibeat,0.009983048
5/3/2014,Taxibeat,0.009749932
5/10/2014,Taxibeat,0.008844133
5/17/2014,Taxibeat,0.008970128
5/24/2014,Taxibeat,0.008351249
5/31/2014,Taxibeat,0.008334008
6/7/2014,Taxibeat,0.008641192
6/14/2014,Taxibeat,0.008016188
6/21/2014,Taxibeat,0.00700431
6/28/2014,Taxibeat,0.005898367
7/5/2014,Taxibeat,0.006002401
7/12/2014,Taxibeat,0.006343284
7/19/2014,Taxibeat,0.005622549
7/26/2014,Taxibeat,0.005463271
8/2/2014,Taxibeat,0.00552649
8/9/2014,Taxibeat,0.005241013
8/16/2014,Taxibeat,0.005026983
8/23/2014,Taxibeat,0.005368437
8/30/2014,Taxibeat,0.004945455
9/6/2014,Taxibeat,0.0046559
9/13/2014,Taxibeat,0.004730713
9/20/2014,Taxibeat,0.004329322
9/27/2014,Taxibeat,0.004507452
10/4/2014,Taxibeat,0.003986085
10/11/2014,Taxibeat,0.003630028
10/18/2014,Taxibeat,0.003872571
10/25/2014,Taxibeat,0.003799732
11/1/2014,Taxibeat,0.004046763
11/8/2014,Taxibeat,0.004584054
11/15/2014,Taxibeat,0.004214012
11/22/2014,Taxibeat,0.004160993
11/29/2014,Taxibeat,0.004464961
12/6/2014,Taxibeat,0.003967346
12/13/2014,Taxibeat,0.004028822
12/20/2014,Taxibeat,0.004091911
12/27/2014,Taxibeat,0.004459218
1/3/2015,Taxibeat,0.004092542
1/10/2015,Taxibeat,0.004060186
1/17/2015,Taxibeat,0.003341289
1/24/2015,Taxibeat,0.002841133
1/31/2015,Taxibeat,0.002565697
2/7/2015,Taxibeat,0.003107037
2/14/2015,Taxibeat,0.002980158
2/21/2015,Taxibeat,0.003218021
2/28/2015,Taxibeat,0.003324626
3/7/2015,Taxibeat,0.00331806
3/14/2015,Taxibeat,0.002893111
3/21/2015,Taxibeat,0.002144115
3/28/2015,Taxibeat,0.002344932
4/4/2015,Taxibeat,0.001734148
4/11/2015,Taxibeat,0.001909799
4/18/2015,Taxibeat,0.001766784
4/25/2015,Taxibeat,0.001481921
5/2/2015,Taxibeat,0.001348315
5/9/2015,Taxibeat,0.001054455
5/16/2015,Taxibeat,0.001357876
5/23/2015,Taxibeat,0.00143137
5/30/2015,Taxibeat,0.001422795
6/6/2015,Taxibeat,0.001508068
6/13/2015,Taxibeat,0.001277043
6/20/2015,Taxibeat,0.00083201
6/27/2015,Taxibeat,0.00084317
7/4/2015,Taxibeat,0.000539042
7/11/2015,Taxibeat,0.000859174
7/18/2015,Taxibeat,0.001097093
7/25/2015,Taxibeat,0.001184928
8/1/2015,Taxibeat,0.001196936
8/8/2015,Taxibeat,0.001203949
8/15/2015,Taxibeat,0.000995603
8/22/2015,Taxibeat,0.000678771
8/29/2015,Taxibeat,0.000604491
9/5/2015,Taxibeat,0.000529474
9/12/2015,Taxibeat,0.000747524
9/19/2015,Taxibeat,0.000684329
9/26/2015,Taxibeat,0.000793651
4/5/2014,ninetynineTaxis,0.034041962
4/12/2014,ninetynineTaxis,0.034095861
4/19/2014,ninetynineTaxis,0.033655313
4/26/2014,ninetynineTaxis,0.032868714
5/3/2014,ninetynineTaxis,0.030603954
5/10/2014,ninetynineTaxis,0.03178634
5/17/2014,ninetynineTaxis,0.030972328
5/24/2014,ninetynineTaxis,0.031420539
5/31/2014,ninetynineTaxis,0.033578769
6/7/2014,ninetynineTaxis,0.031552244
6/14/2014,ninetynineTaxis,0.032998677
6/21/2014,ninetynineTaxis,0.032019704
6/28/2014,ninetynineTaxis,0.031911676
7/5/2014,ninetynineTaxis,0.031662665
7/12/2014,ninetynineTaxis,0.031791045
7/19/2014,ninetynineTaxis,0.030850041
7/26/2014,ninetynineTaxis,0.032189
8/2/2014,ninetynineTaxis,0.033748434
8/9/2014,ninetynineTaxis,0.034989297
8/16/2014,ninetynineTaxis,0.036445627
8/23/2014,ninetynineTaxis,0.037137814
8/30/2014,ninetynineTaxis,0.036363636
9/6/2014,ninetynineTaxis,0.033537029
9/13/2014,ninetynineTaxis,0.034861718
9/20/2014,ninetynineTaxis,0.033387144
9/27/2014,ninetynineTaxis,0.032860778
10/4/2014,ninetynineTaxis,0.032830845
10/11/2014,ninetynineTaxis,0.032452447
10/18/2014,ninetynineTaxis,0.033245652
10/25/2014,ninetynineTaxis,0.03360155
11/1/2014,ninetynineTaxis,0.035371703
11/8/2014,ninetynineTaxis,0.038325693
11/15/2014,ninetynineTaxis,0.039581609
11/22/2014,ninetynineTaxis,0.040248146
11/29/2014,ninetynineTaxis,0.044346905
12/6/2014,ninetynineTaxis,0.044403754
12/13/2014,ninetynineTaxis,0.047338653
12/20/2014,ninetynineTaxis,0.050440667
12/27/2014,ninetynineTaxis,0.04986217
1/3/2015,ninetynineTaxis,0.047690637
1/10/2015,ninetynineTaxis,0.042830985
1/17/2015,ninetynineTaxis,0.039856802
1/24/2015,ninetynineTaxis,0.038907742
1/31/2015,ninetynineTaxis,0.038018971
2/7/2015,ninetynineTaxis,0.040158459
2/14/2015,ninetynineTaxis,0.041800643
2/21/2015,ninetynineTaxis,0.041834272
2/28/2015,ninetynineTaxis,0.042824349
3/7/2015,ninetynineTaxis,0.043134776
3/14/2015,ninetynineTaxis,0.040425366
3/21/2015,ninetynineTaxis,0.040661613
3/28/2015,ninetynineTaxis,0.041149773
4/4/2015,ninetynineTaxis,0.040940964
4/11/2015,ninetynineTaxis,0.041060673
4/18/2015,ninetynineTaxis,0.041740283
4/25/2015,ninetynineTaxis,0.041641968
5/2/2015,ninetynineTaxis,0.043146067
5/9/2015,ninetynineTaxis,0.043006703
5/16/2015,ninetynineTaxis,0.044508147
5/23/2015,ninetynineTaxis,0.045954498
5/30/2015,ninetynineTaxis,0.047925715
6/6/2015,ninetynineTaxis,0.051651335
6/13/2015,ninetynineTaxis,0.053185096
6/20/2015,ninetynineTaxis,0.054231904
6/27/2015,ninetynineTaxis,0.06308447
7/4/2015,ninetynineTaxis,0.062913907
7/11/2015,ninetynineTaxis,0.063735062
7/18/2015,ninetynineTaxis,0.066139017
7/25/2015,ninetynineTaxis,0.057034521
8/1/2015,ninetynineTaxis,0.055936802
8/8/2015,ninetynineTaxis,0.058110603
8/15/2015,ninetynineTaxis,0.061229569
8/22/2015,ninetynineTaxis,0.065840828
8/29/2015,ninetynineTaxis,0.068739206
9/5/2015,ninetynineTaxis,0.071214261
9/12/2015,ninetynineTaxis,0.075593347
9/19/2015,ninetynineTaxis,0.076742595
9/26/2015,ninetynineTaxis,0.076884921
4/5/2014,Easy_Taxi,0.077810199
4/12/2014,Easy_Taxi,0.078104575
4/19/2014,Easy_Taxi,0.074529741
4/26/2014,Easy_Taxi,0.072895084
5/3/2014,Easy_Taxi,0.073395324
5/10/2014,Easy_Taxi,0.070315236
5/17/2014,Easy_Taxi,0.073538123
5/24/2014,Easy_Taxi,0.074334381
5/31/2014,Easy_Taxi,0.077271624
6/7/2014,Easy_Taxi,0.076423022
6/14/2014,Easy_Taxi,0.103043038
6/21/2014,Easy_Taxi,0.105449507
6/28/2014,Easy_Taxi,0.102540835
7/5/2014,Easy_Taxi,0.103616447
7/12/2014,Easy_Taxi,0.067313433
7/19/2014,Easy_Taxi,0.066360879
7/26/2014,Easy_Taxi,0.067404946
8/2/2014,Easy_Taxi,0.069339032
8/9/2014,Easy_Taxi,0.069314239
8/16/2014,Easy_Taxi,0.068751386
8/23/2014,Easy_Taxi,0.069863215
8/30/2014,Easy_Taxi,0.070836364
9/6/2014,Easy_Taxi,0.072020952
9/13/2014,Easy_Taxi,0.072561863
9/20/2014,Easy_Taxi,0.071764015
9/27/2014,Easy_Taxi,0.071392221
10/4/2014,Easy_Taxi,0.070082621
