date,company,values
4/5/2014,Uber,0
4/12/2014,Uber,0
4/19/2014,Uber,0.001169135
4/26/2014,Uber,0.000338066
5/3/2014,Uber,0.001353791
5/10/2014,Uber,0.00216263
5/17/2014,Uber,0.002779984
5/24/2014,Uber,0.00261878
5/31/2014,Uber,0.003025719
6/7/2014,Uber,0.003143556
6/14/2014,Uber,0.003235083
6/21/2014,Uber,0.003625816
6/28/2014,Uber,0.002826855
7/5/2014,Uber,0.00277585
7/12/2014,Uber,0.0021398
7/19/2014,Uber,0.001717623
7/26/2014,Uber,0.000680041
8/2/2014,Uber,0.002642881
8/9/2014,Uber,0.004771643
8/16/2014,Uber,0.00502008
8/23/2014,Uber,0.005310322
8/30/2014,Uber,0.004201681
9/6/2014,Uber,0.003461405
9/13/2014,Uber,0.003344482
9/20/2014,Uber,0.004335708
9/27/2014,Uber,0.004481434
10/4/2014,Uber,0.005710207
10/11/2014,Uber,0.005380477
10/18/2014,Uber,0.005131495
10/25/2014,Uber,0.006537983
11/1/2014,Uber,0.00573431
11/8/2014,Uber,0.007241606
11/15/2014,Uber,0.007978723
11/22/2014,Uber,0.006093433
11/29/2014,Uber,0.00538902
12/6/2014,Uber,0.005582694
12/13/2014,Uber,0.005037783
12/20/2014,Uber,0.004457652
12/27/2014,Uber,0.003458032
1/3/2015,Uber,0.003539823
1/10/2015,Uber,0.004884005
1/17/2015,Uber,0.004946414
1/24/2015,Uber,0.006666667
1/31/2015,Uber,0.008267717
2/7/2015,Uber,0.008899676
2/14/2015,Uber,0.011870845
2/21/2015,Uber,0.007401316
2/28/2015,Uber,0.008098727
3/7/2015,Uber,0.00979021
3/14/2015,Uber,0.006477733
3/21/2015,Uber,0.007797995
3/28/2015,Uber,0.010057471
4/4/2015,Uber,0.009595202
4/11/2015,Uber,0.009768638
4/18/2015,Uber,0.012328767
4/25/2015,Uber,0.012978142
5/2/2015,Uber,0.012860619
5/9/2015,Uber,0.015098722
5/16/2015,Uber,0.015232292
5/23/2015,Uber,0.013624955
5/30/2015,Uber,0.012911995
6/6/2015,Uber,0.016983421
6/13/2015,Uber,0.020094563
6/20/2015,Uber,0.022494081
6/27/2015,Uber,0.024034673
7/4/2015,Uber,0.023752969
7/11/2015,Uber,0.023007395
7/18/2015,Uber,0.027197477
7/25/2015,Uber,0.027247956
8/1/2015,Uber,0.028235294
8/8/2015,Uber,0.028606457
8/15/2015,Uber,0.025347506
8/22/2015,Uber,0.024873524
8/29/2015,Uber,0.028921998
9/5/2015,Uber,0.026391555
9/12/2015,Uber,0.022846264
9/19/2015,Uber,0.018892794
9/26/2015,Uber,0.017647059
4/5/2014,Kuaidi,0.026165168
4/12/2014,Kuaidi,0.023563218
4/19/2014,Kuaidi,0.017147311
4/26/2014,Kuaidi,0.016565247
5/3/2014,Kuaidi,0.024368231
5/10/2014,Kuaidi,0.028979239
5/17/2014,Kuaidi,0.026608419
5/24/2014,Kuaidi,0.025813692
5/31/2014,Kuaidi,0.027609682
6/7/2014,Kuaidi,0.024100594
6/14/2014,Kuaidi,0.024083393
6/21/2014,Kuaidi,0.023205221
6/28/2014,Kuaidi,0.021908127
7/5/2014,Kuaidi,0.019430951
7/12/2014,Kuaidi,0.021754636
7/19/2014,Kuaidi,0.0195809
7/26/2014,Kuaidi,0.021761306
8/2/2014,Kuaidi,0.021143046
8/9/2014,Kuaidi,0.020790729
8/16/2014,Kuaidi,0.018406961
8/23/2014,Kuaidi,0.020245602
8/30/2014,Kuaidi,0.019392372
9/6/2014,Kuaidi,0.021806854
9/13/2014,Kuaidi,0.020735786
9/20/2014,Kuaidi,0.019200991
9/27/2014,Kuaidi,0.020166453
10/4/2014,Kuaidi,0.021770164
10/11/2014,Kuaidi,0.023059185
10/18/2014,Kuaidi,0.018280949
10/25/2014,Kuaidi,0.018368618
11/1/2014,Kuaidi,0.018477222
11/8/2014,Kuaidi,0.021066491
11/15/2014,Kuaidi,0.022273936
11/22/2014,Kuaidi,0.021327014
11/29/2014,Kuaidi,0.018524756
12/6/2014,Kuaidi,0.019539428
12/13/2014,Kuaidi,0.01943145
12/20/2014,Kuaidi,0.019687964
12/27/2014,Kuaidi,0.018547627
1/3/2015,Kuaidi,0.022300885
1/10/2015,Kuaidi,0.025234025
1/17/2015,Kuaidi,0.030090684
1/24/2015,Kuaidi,0.030196078
1/31/2015,Kuaidi,0.032283465
2/7/2015,Kuaidi,0.03236246
2/14/2015,Kuaidi,0.034662868
2/21/2015,Kuaidi,0.026726974
2/28/2015,Kuaidi,0.026995758
3/7/2015,Kuaidi,0.031701632
3/14/2015,Kuaidi,0.027530364
3/21/2015,Kuaidi,0.026735982
3/28/2015,Kuaidi,0.026939655
4/4/2015,Kuaidi,0.024587706
4/11/2015,Kuaidi,0.02159383
4/18/2015,Kuaidi,0.025
4/25/2015,Kuaidi,0.024248634
5/2/2015,Kuaidi,0.023983316
5/9/2015,Kuaidi,0.02129307
5/16/2015,Kuaidi,0.020182788
5/23/2015,Kuaidi,0.020437433
5/30/2015,Kuaidi,0.020727149
6/6/2015,Kuaidi,0.026688233
6/13/2015,Kuaidi,0.027974783
6/20/2015,Kuaidi,0.022494081
6/27/2015,Kuaidi,0.022458629
7/4/2015,Kuaidi,0.022565321
7/11/2015,Kuaidi,0.022596549
7/18/2015,Kuaidi,0.022467481
7/25/2015,Kuaidi,0.022966135
8/1/2015,Kuaidi,0.023529412
8/8/2015,Kuaidi,0.020841847
8/15/2015,Kuaidi,0.018397383
8/22/2015,Kuaidi,0.016863406
8/29/2015,Kuaidi,0.017090272
9/5/2015,Kuaidi,0.017274472
9/12/2015,Kuaidi,0.018086625
9/19/2015,Kuaidi,0.015817223
9/26/2015,Kuaidi,0.018099548
4/5/2014,Didi,0.025347506
4/12/2014,Didi,0.022413793
4/19/2014,Didi,0.016757599
4/26/2014,Didi,0.018593644
5/3/2014,Didi,0.025722022
5/10/2014,Didi,0.024653979
5/17/2014,Didi,0.026608419
5/24/2014,Didi,0.026561915
5/31/2014,Didi,0.026096823
6/7/2014,Didi,0.025148446
6/14/2014,Didi,0.023005032
6/21/2014,Didi,0.021392313
6/28/2014,Didi,0.020848057
7/5/2014,Didi,0.021165857
7/12/2014,Didi,0.023537803
7/19/2014,Didi,0.023016146
7/26/2014,Didi,0.024141448
8/2/2014,Didi,0.022134126
8/9/2014,Didi,0.022154056
8/16/2014,Didi,0.023427041
8/23/2014,Didi,0.021241288
8/30/2014,Didi,0.022301228
9/6/2014,Didi,0.020768432
9/13/2014,Didi,0.021404682
9/20/2014,Didi,0.019200991
9/27/2014,Didi,0.019206146
10/4/2014,Didi,0.023197716
10/11/2014,Didi,0.020753267
10/18/2014,Didi,0.016998076
10/25/2014,Didi,0.018368618
11/1/2014,Didi,0.020070086
11/8/2014,Didi,0.022712311
11/15/2014,Didi,0.021609043
11/22/2014,Didi,0.02268111
11/29/2014,Didi,0.022903334
12/6/2014,Didi,0.023726448
12/13/2014,Didi,0.027347967
12/20/2014,Didi,0.031203566
12/27/2014,Didi,0.025149324
1/3/2015,Didi,0.030442478
1/10/2015,Didi,0.034188034
1/17/2015,Didi,0.037922506
1/24/2015,Didi,0.038039216
1/31/2015,Didi,0.038582677
2/7/2015,Didi,0.041262136
2/14/2015,Didi,0.047483381
2/21/2015,Didi,0.038240132
2/28/2015,Didi,0.032009256
3/7/2015,Didi,0.03962704
3/14/2015,Didi,0.030364372
3/21/2015,Didi,0.030449313
3/28/2015,Didi,0.03125
4/4/2015,Didi,0.028185907
4/11/2015,Didi,0.022622108
4/18/2015,Didi,0.028082192
4/25/2015,Didi,0.029030055
5/2/2015,Didi,0.031977755
5/9/2015,Didi,0.032907472
5/16/2015,Didi,0.033130236
5/23/2015,Didi,0.029042668
5/30/2015,Didi,0.029561672
6/6/2015,Didi,0.038414881
6/13/2015,Didi,0.039007092
6/20/2015,Didi,0.040647198
6/27/2015,Didi,0.042553191
7/4/2015,Didi,0.041171813
7/11/2015,Didi,0.04272802
7/18/2015,Didi,0.041781632
7/25/2015,Didi,0.040482678
8/1/2015,Didi,0.039607843
8/8/2015,Didi,0.040866367
8/15/2015,Didi,0.039247751
8/22/2015,Didi,0.037942664
8/29/2015,Didi,0.03768624
9/5/2015,Didi,0.035988484
9/12/2015,Didi,0.037601142
9/19/2015,Didi,0.035149385
9/26/2015,Didi,0.036651584
