date,company,values
4/5/2014,Uber,0.019981499
4/12/2014,Uber,0.019774011
4/19/2014,Uber,0.020159355
4/26/2014,Uber,0.023844877
5/3/2014,Uber,0.023318827
5/10/2014,Uber,0.023169025
5/17/2014,Uber,0.022156134
5/24/2014,Uber,0.023030828
5/31/2014,Uber,0.026822076
6/7/2014,Uber,0.028427296
6/14/2014,Uber,0.030215924
6/21/2014,Uber,0.030708813
6/28/2014,Uber,0.032664107
7/5/2014,Uber,0.032603377
7/12/2014,Uber,0.029964991
7/19/2014,Uber,0.029585799
7/26/2014,Uber,0.030788673
8/2/2014,Uber,0.032388664
8/9/2014,Uber,0.032210502
8/16/2014,Uber,0.034790011
8/23/2014,Uber,0.039312998
8/30/2014,Uber,0.041823204
9/6/2014,Uber,0.043229081
9/13/2014,Uber,0.044483021
9/20/2014,Uber,0.04708047
9/27/2014,Uber,0.047288946
10/4/2014,Uber,0.048695841
10/11/2014,Uber,0.051500756
10/18/2014,Uber,0.050553942
10/25/2014,Uber,0.050258926
11/1/2014,Uber,0.054647488
11/8/2014,Uber,0.06228204
11/15/2014,Uber,0.065611105
11/22/2014,Uber,0.071967436
11/29/2014,Uber,0.086291376
12/6/2014,Uber,0.093215725
12/13/2014,Uber,0.09319395
12/20/2014,Uber,0.093222746
12/27/2014,Uber,0.080973985
1/3/2015,Uber,0.072481922
1/10/2015,Uber,0.059766295
1/17/2015,Uber,0.05827957
1/24/2015,Uber,0.060960558
1/31/2015,Uber,0.073329741
2/7/2015,Uber,0.089088658
2/14/2015,Uber,0.095700193
2/21/2015,Uber,0.094951017
2/28/2015,Uber,0.092299465
3/7/2015,Uber,0.100264851
3/14/2015,Uber,0.077428312
3/21/2015,Uber,0.04692881
3/28/2015,Uber,0.038803156
4/4/2015,Uber,0.04783124
4/11/2015,Uber,0.055698954
4/18/2015,Uber,0.064118096
4/25/2015,Uber,0.07243407
5/2/2015,Uber,0.079655448
5/9/2015,Uber,0.085477326
5/16/2015,Uber,0.087991765
5/23/2015,Uber,0.090344489
5/30/2015,Uber,0.095276436
6/6/2015,Uber,0.098846344
6/13/2015,Uber,0.102064737
6/20/2015,Uber,0.104962351
6/27/2015,Uber,0.103827882
7/4/2015,Uber,0.103292181
7/11/2015,Uber,0.102701465
7/18/2015,Uber,0.103328297
7/25/2015,Uber,0.108016336
8/1/2015,Uber,0.108942562
8/8/2015,Uber,0.110156031
8/15/2015,Uber,0.111335255
8/22/2015,Uber,0.108901044
